Age,Fare
22.0,7.25
38.0,71.2833
26.0,7.925
35.0,53.1
35.0,8.05
,8.4583
54.0,51.8625
2.0,21.075
27.0,11.1333
14.0,30.0708
4.0,16.7
58.0,26.55
20.0,8.05
39.0,31.275
14.0,7.8542
55.0,16.0
2.0,29.125
,13.0
31.0,18.0
,7.225
35.0,26.0
34.0,13.0
15.0,8.0292
28.0,35.5
8.0,21.075
38.0,31.3875
,7.225
19.0,263.0
,7.8792
,7.8958
40.0,27.7208
,146.5208
,7.75
66.0,10.5
28.0,82.1708
42.0,52.0
,7.2292
21.0,8.05
18.0,18.0
14.0,11.2417
40.0,9.475
27.0,21.0
,7.8958
3.0,41.5792
19.0,7.8792
,8.05
,15.5
,7.75
,21.6792
18.0,17.8
7.0,39.6875
21.0,7.8
49.0,76.7292
29.0,26.0
65.0,61.9792
,35.5
21.0,10.5
28.5,7.2292
5.0,27.75
11.0,46.9
22.0,7.2292
38.0,80.0
45.0,83.475
4.0,27.9
,27.7208
,15.2458
29.0,10.5
19.0,8.1583
17.0,7.925
26.0,8.6625
32.0,10.5
16.0,46.9
21.0,73.5
26.0,14.4542
32.0,56.4958
25.0,7.65
,7.8958
,8.05
0.83,29.0
30.0,12.475
22.0,9.0
29.0,9.5
,7.7875
28.0,47.1
17.0,10.5
33.0,15.85
16.0,34.375
,8.05
23.0,263.0
24.0,8.05
29.0,8.05
20.0,7.8542
46.0,61.175
26.0,20.575
59.0,7.25
,8.05
71.0,34.6542
23.0,63.3583
34.0,23.0
34.0,26.0
28.0,7.8958
,7.8958
21.0,77.2875
33.0,8.6542
37.0,7.925
28.0,7.8958
21.0,7.65
,7.775
38.0,7.8958
,24.15
47.0,52.0
14.5,14.4542
22.0,8.05
20.0,9.825
17.0,14.4583
21.0,7.925
70.5,7.75
29.0,21.0
24.0,247.5208
2.0,31.275
21.0,73.5
,8.05
32.5,30.0708
32.5,13.0
54.0,77.2875
12.0,11.2417
,7.75
24.0,7.1417
,22.3583
45.0,6.975
33.0,7.8958
